State_Or_UT,Years,Cause,Male_upto_14_years,Male_15_to_29_years,Male_30_to_44_years,Male_45_to_59_years,Male_above_60_years,Total_Male,Female_upto_14_years,Female_15_to_29_years,Female_30_to_44_years,Female_45_to_59_years,Female_above_60_years,Total_Female,Grand_Total,Age_upto_14_years,Age_15_to_29_years,Age_30_to_44_years,Age_45_to_59_years,Age_above_60_years
ANDHRA PRADESH,2001,Bankruptcy,0,40,48,42,9,139,2,10,7,5,0,24,163,2,50,55,47,9
ANDHRA PRADESH,2001,Suspected/Illicit Relation,0,10,12,7,0,29,2,21,16,0,0,39,68,2,31,28,7,0
ANDHRA PRADESH,2001,Cancellation/Non-Settlement of Marriage,0,20,4,1,0,25,7,40,1,1,0,49,74,7,60,5,2,0
ANDHRA PRADESH,2001,Infertility,0,11,6,0,0,17,0,31,4,6,0,41,58,0,42,10,6,0
ANDHRA PRADESH,2001,Illness (Aids/STD),1,39,22,30,4,96,4,68,30,10,5,117,213,5,107,52,40,9
ANDHRA PRADESH,2001,Cancer,0,13,17,17,1,48,0,3,2,8,1,14,62,0,16,19,25,2
ANDHRA PRADESH,2001,Paralysis,0,6,5,21,12,44,0,9,10,9,7,35,79,0,15,15,30,19
ANDHRA PRADESH,2001,Insanity/Mental Illness,1,110,171,53,33,368,2,112,82,52,25,273,641,3,222,253,105,58
ANDHRA PRADESH,2001,Other Prolonged Illness,47,432,576,568,131,1754,48,342,328,273,83,1074,2828,95,774,904,841,214
ANDHRA PRADESH,2001,Death of Dear Person,0,5,4,4,1,14,0,36,27,2,2,67,81,0,41,31,6,3
ANDHRA PRADESH,2001,Dowry Dispute,0,1,0,0,0,1,0,159,41,1,0,201,202,0,160,41,1,0
ANDHRA PRADESH,2001,Divorce,0,1,2,0,0,3,0,9,3,0,0,12,15,0,10,5,0,0
ANDHRA PRADESH,2001,Drug Abuse/Addiction,0,4,8,10,1,23,1,0,1,0,0,2,25,1,4,9,10,1
ANDHRA PRADESH,2001,Failure in Examination,13,84,0,0,0,97,6,44,0,0,0,50,147,19,128,0,0,0
ANDHRA PRADESH,2001,Fall in Social Reputation,0,18,18,17,7,60,0,23,14,11,1,49,109,0,41,32,28,8
ANDHRA PRADESH,2001,Family Problems,12,492,553,285,42,1384,20,437,315,133,28,933,2317,32,929,868,418,70
ANDHRA PRADESH,2001,Ideological Causes/Hero Worshipping,0,2,1,3,0,6,0,3,1,2,0,6,12,0,5,2,5,0
ANDHRA PRADESH,2001,Illegitimate Pregnancy,0,0,0,0,0,0,0,18,0,0,0,18,18,0,18,0,0,0
ANDHRA PRADESH,2001,Love Affairs,3,84,12,0,0,99,3,65,8,0,0,76,175,6,149,20,0,0
ANDHRA PRADESH,2001,"Physical Abuse (Rape,Incest Etc.)",0,9,3,0,0,12,5,30,8,0,1,44,56,5,39,11,0,1
ANDHRA PRADESH,2001,Poverty,7,110,123,73,27,340,4,39,41,19,3,106,446,11,149,164,92,30
ANDHRA PRADESH,2001,Professional/Career Problem,0,7,22,18,5,52,0,6,1,5,1,13,65,0,13,23,23,6
ANDHRA PRADESH,2001,Property Dispute,0,11,18,19,1,49,0,8,22,13,3,46,95,0,19,40,32,4
ANDHRA PRADESH,2001,Unemployment,0,35,41,6,0,82,3,7,1,2,0,13,95,3,42,42,8,0
ANDHRA PRADESH,2001,Causes Not known,35,234,254,107,47,677,17,155,93,61,15,341,1018,52,389,347,168,62
ANDHRA PRADESH,2001,Other Causes,54,280,293,285,48,960,61,196,142,84,17,500,1460,115,476,435,369,65
ANDHRA PRADESH,2001,Total,173,2058,2213,1566,369,6379,185,1871,1198,697,192,4143,10522,358,3929,3411,2263,561
ANDHRA PRADESH,2001,Total Illness,49,600,791,689,181,2310,54,534,452,352,121,1513,3823,103,1134,1243,1041,302
ANDHRA PRADESH,2002,Bankruptcy,0,26,56,40,6,128,0,4,7,1,0,12,140,0,30,63,41,6
ANDHRA PRADESH,2002,Suspected/Illicit Relation,0,18,10,3,0,31,0,12,11,0,0,23,54,0,30,21,3,0
ANDHRA PRADESH,2002,Cancellation/Non-Settlement of Marriage,0,19,4,1,0,24,0,24,6,0,0,30,54,0,43,10,1,0
ANDHRA PRADESH,2002,Infertility,0,2,2,0,0,4,0,12,11,0,0,23,27,0,14,13,0,0
ANDHRA PRADESH,2002,Illness (Aids/STD),3,47,99,44,18,211,2,43,62,10,17,134,345,5,90,161,54,35
ANDHRA PRADESH,2002,Cancer,1,2,10,18,14,45,0,6,17,9,8,40,85,1,8,27,27,22
ANDHRA PRADESH,2002,Paralysis,0,10,8,9,12,39,0,0,0,2,2,4,43,0,10,8,11,14
ANDHRA PRADESH,2002,Insanity/Mental Illness,5,135,162,82,38,422,8,74,111,60,17,270,692,13,209,273,142,55
ANDHRA PRADESH,2002,Other Prolonged Illness,17,418,707,783,213,2138,23,397,335,209,83,1047,3185,40,815,1042,992,296
ANDHRA PRADESH,2002,Death of Dear Person,1,2,12,3,0,18,1,9,2,1,0,13,31,2,11,14,4,0
ANDHRA PRADESH,2002,Dowry Dispute,0,10,2,0,0,12,0,229,17,4,0,250,262,0,239,19,4,0
ANDHRA PRADESH,2002,Divorce,0,2,0,0,0,2,0,3,8,1,0,12,14,0,5,8,1,0
ANDHRA PRADESH,2002,Drug Abuse/Addiction,0,3,8,7,0,18,0,1,0,0,0,1,19,0,4,8,7,0
ANDHRA PRADESH,2002,Failure in Examination,17,147,5,0,0,169,7,78,8,0,0,93,262,24,225,13,0,0
ANDHRA PRADESH,2002,Fall in Social Reputation,1,10,10,7,1,29,1,8,4,0,0,13,42,2,18,14,7,1
ANDHRA PRADESH,2002,Family Problems,17,440,601,349,71,1478,33,325,295,134,29,816,2294,50,765,896,483,100
ANDHRA PRADESH,2002,Ideological Causes/Hero Worshipping,0,0,2,1,0,3,0,0,0,0,0,0,3,0,0,2,1,0
ANDHRA PRADESH,2002,Illegitimate Pregnancy,0,0,0,0,0,0,0,13,0,0,0,13,13,0,13,0,0,0
ANDHRA PRADESH,2002,Love Affairs,0,109,52,3,0,164,4,75,13,0,0,92,256,4,184,65,3,0
ANDHRA PRADESH,2002,"Physical Abuse (Rape,Incest Etc.)",0,10,8,4,0,22,1,5,2,0,0,8,30,1,15,10,4,0
ANDHRA PRADESH,2002,Poverty,3,114,213,152,35,517,4,27,57,21,4,113,630,7,141,270,173,39
ANDHRA PRADESH,2002,Professional/Career Problem,0,1,4,0,0,5,0,1,2,0,0,3,8,0,2,6,0,0
ANDHRA PRADESH,2002,Property Dispute,3,23,32,52,17,127,0,6,25,3,12,46,173,3,29,57,55,29
ANDHRA PRADESH,2002,Unemployment,0,50,27,9,0,86,0,3,1,0,0,4,90,0,53,28,9,0
ANDHRA PRADESH,2002,Causes Not known,13,215,249,134,46,657,14,117,61,41,17,250,907,27,332,310,175,63
ANDHRA PRADESH,2002,Other Causes,20,360,548,234,60,1222,41,332,319,76,44,812,2034,61,692,867,310,104
ANDHRA PRADESH,2002,Total,101,2173,2831,1935,531,7571,139,1804,1374,572,233,4122,11693,240,3977,4205,2507,764
ANDHRA PRADESH,2002,Total Illness,26,612,986,936,295,2855,33,520,525,290,127,1495,4350,59,1132,1511,1226,422
ANDHRA PRADESH,2003,Bankruptcy,2,36,103,55,6,202,1,5,19,5,1,31,233,3,41,122,60,7
ANDHRA PRADESH,2003,Suspected/Illicit Relation,1,22,32,14,0,69,2,18,24,3,0,47,116,3,40,56,17,0
ANDHRA PRADESH,2003,Cancellation/Non-Settlement of Marriage,1,15,7,3,0,26,1,17,6,0,0,24,50,2,32,13,3,0
ANDHRA PRADESH,2003,Infertility,0,2,3,1,0,6,0,15,11,0,0,26,32,0,17,14,1,0
ANDHRA PRADESH,2003,Illness (Aids/STD),4,73,95,43,14,229,7,94,53,15,8,177,406,11,167,148,58,22
ANDHRA PRADESH,2003,Cancer,0,23,33,15,4,75,0,18,24,16,2,60,135,0,41,57,31,6
ANDHRA PRADESH,2003,Paralysis,0,3,2,4,3,12,0,0,1,0,2,3,15,0,3,3,4,5
ANDHRA PRADESH,2003,Insanity/Mental Illness,7,159,247,94,28,535,20,108,101,56,14,299,834,27,267,348,150,42
ANDHRA PRADESH,2003,Other Prolonged Illness,17,345,488,530,201,1581,31,296,276,209,67,879,2460,48,641,764,739,268
ANDHRA PRADESH,2003,Death of Dear Person,0,8,6,18,4,36,0,1,3,5,3,12,48,0,9,9,23,7
ANDHRA PRADESH,2003,Dowry Dispute,0,2,28,19,0,49,6,239,33,6,0,284,333,6,241,61,25,0
ANDHRA PRADESH,2003,Divorce,0,1,2,0,0,3,0,5,5,7,0,17,20,0,6,7,7,0
ANDHRA PRADESH,2003,Drug Abuse/Addiction,0,3,18,9,1,31,0,0,0,0,0,0,31,0,3,18,9,1
ANDHRA PRADESH,2003,Failure in Examination,17,109,11,0,0,137,22,71,8,0,0,101,238,39,180,19,0,0
